Date & Time,Solve Time
J 27 2015 12:42:31 PM,00:47.18
J 27 2015 12:40:59 PM,00:37.30
J 27 2015 12:39:17 PM,00:35.18
J 27 2015 12:37:59 PM,00:34.09
J 18 2015 11:52:34 PM,00:32.40
J 18 2015 10:04:40 PM,00:36.57
J 18 2015 10:03:31 PM,00:30.25
J 18 2015 10:02:11 PM,00:45.80
J 18 2015 10:01:01 PM,00:29.90
J 18 2015 09:59:40 PM,00:35.12
J 18 2015 09:58:40 PM,00:29.75
J 18 2015 09:57:21 PM,00:27.30
J 18 2015 09:55:53 PM,00:28.86
J 18 2015 09:54:37 PM,00:37.73
J 18 2015 09:53:07 PM,00:37.64
J 18 2015 09:52:13 PM,00:27.51
J 18 2015 09:51:05 PM,00:32.27
J 18 2015 09:49:49 PM,00:41.92
J 18 2015 09:47:50 PM,00:48.80
J 18 2015 09:46:26 PM,00:42.33
J 18 2015 09:45:22 PM,00:38.52
J 18 2015 09:44:00 PM,00:42.24
J 18 2015 09:42:49 PM,00:31.28
J 18 2015 09:41:43 PM,00:34.80
J 17 2015 09:04:43 PM,00:41.08
J 17 2015 09:01:41 PM,00:37.43
J 17 2015 08:58:46 PM,00:38.64
J 17 2015 08:57:26 PM,00:31.26
J 17 2015 08:56:02 PM,00:32.50
J 17 2015 08:54:56 PM,00:33.23
J 17 2015 08:53:54 PM,00:31.45
J 17 2015 08:52:53 PM,00:34.58
J 17 2015 08:51:45 PM,00:38.17
J 16 2015 08:33:56 PM,00:42.85
J 16 2015 08:32:45 PM,00:33.05
J 16 2015 08:31:39 PM,00:35.25
J 16 2015 08:30:13 PM,00:33.47
J 16 2015 08:29:08 PM,00:41.53
J 16 2015 08:27:41 PM,00:46.78
J 14 2015 11:13:21 AM,00:33.53
J 14 2015 11:12:27 AM,00:35.15
J 14 2015 11:11:02 AM,00:39.15
D 27 2014 06:03:21 PM,00:36.09
D 27 2014 06:02:04 PM,00:33.99
D 27 2014 06:00:44 PM,00:31.59
D 27 2014 05:54:14 PM,00:37.16
D 27 2014 05:52:44 PM,00:38.48
D 27 2014 05:51:28 PM,00:26.66
D 24 2014 04:45:14 AM,00:37.85
D 21 2014 03:45:31 AM,00:39.82
D 21 2014 03:44:29 AM,00:27.27
D 21 2014 03:43:24 AM,00:40.33
D 21 2014 03:25:43 AM,00:35.29
D 21 2014 03:24:19 AM,00:37.58
D 21 2014 03:23:06 AM,00:34.30
D 21 2014 03:22:01 AM,00:35.07
D 21 2014 03:20:32 AM,00:33.89
D 21 2014 03:19:19 AM,00:34.02
D 18 2014 10:21:17 AM,00:33.67
D 18 2014 10:20:07 AM,00:36.21
D 18 2014 10:18:46 AM,00:38.44
D 15 2014 12:43:38 PM,00:41.25
D 15 2014 12:42:48 PM,00:36.18
D 12 2014 12:29:16 PM,00:34.36
D 12 2014 12:28:10 PM,00:39.70
D 04 2014 12:30:52 PM,00:27.03
D 04 2014 12:29:55 PM,00:32.62
D 04 2014 12:27:23 PM,00:39.75
D 03 2014 09:07:03 PM,00:37.30
D 03 2014 09:05:48 PM,00:35.43
D 03 2014 12:23:42 PM,00:36.04
D 03 2014 12:22:21 PM,00:28.16
D 03 2014 12:21:19 PM,00:36.78
N 23 2014 02:34:35 AM,00:43.73
N 23 2014 02:33:05 AM,00:33.76
N 23 2014 02:31:41 AM,00:41.68
N 23 2014 02:30:32 AM,00:35.61
N 23 2014 02:29:33 AM,00:39.46
N 23 2014 02:28:19 AM,00:29.20
N 23 2014 02:27:07 AM,00:44.06
N 16 2014 02:24:32 AM,00:40.02
N 16 2014 02:23:29 AM,00:38.75
N 13 2014 09:19:23 PM,00:37.03
N 13 2014 09:15:49 PM,00:33.50
N 13 2014 12:19:23 PM,00:37.30
N 13 2014 12:18:23 PM,00:40.39
N 13 2014 12:17:30 PM,00:31.61
N 09 2014 01:55:52 PM,00:39.01
N 09 2014 01:54:43 PM,00:38.99
N 09 2014 01:53:38 PM,00:34.38
N 09 2014 01:52:25 PM,00:42.87
N 08 2014 02:52:29 AM,00:32.81
N 08 2014 02:50:57 AM,00:42.64
N 08 2014 02:49:39 AM,00:33.97
N 08 2014 02:48:09 AM,00:39.73
N 08 2014 02:46:54 AM,00:35.37
N 07 2014 07:39:23 PM,00:37.59
N 07 2014 07:38:14 PM,00:35.49
N 07 2014 07:36:04 PM,00:48.88
N 07 2014 07:30:09 PM,00:45.65
N 07 2014 07:28:54 PM,00:41.24
N 07 2014 07:27:23 PM,00:45.29
N 07 2014 07:26:11 PM,00:32.45
N 07 2014 07:25:04 PM,00:42.73
N 06 2014 06:07:31 PM,00:35.51
N 06 2014 06:06:09 PM,00:38.96
N 06 2014 06:03:55 PM,00:37.24
N 06 2014 06:02:36 PM,00:42.87
N 06 2014 06:01:00 PM,00:38.39
N 04 2014 12:26:13 PM,00:40.48
N 04 2014 12:24:00 PM,00:30.26
N 02 2014 11:41:03 PM,00:41.11
N 02 2014 11:39:52 PM,00:38.50
N 02 2014 11:38:35 PM,00:34.57
N 02 2014 11:35:48 PM,00:32.77
N 02 2014 11:34:20 PM,00:47.32
N 01 2014 01:07:20 PM,00:39.63
N 01 2014 01:06:06 PM,00:38.26
O 31 2014 12:15:33 PM,00:33.84
O 31 2014 12:13:48 PM,00:35.40
O 31 2014 10:51:12 AM,00:50.39
O 30 2014 09:13:12 PM,00:39.27
O 30 2014 09:12:04 PM,00:34.09
O 30 2014 09:10:27 PM,00:40.37
O 30 2014 09:08:31 PM,00:40.11
O 30 2014 09:07:23 PM,00:34.29
O 29 2014 12:35:15 PM,00:39.98
O 29 2014 12:33:43 PM,00:38.27
O 29 2014 12:32:22 PM,00:38.55
O 29 2014 12:31:06 PM,00:37.96
O 29 2014 12:29:47 PM,00:44.48
O 27 2014 11:23:08 PM,00:48.59
O 27 2014 11:21:30 PM,00:40.60
O 27 2014 11:19:53 PM,00:38.08
O 27 2014 11:18:15 PM,00:40.89
O 27 2014 11:15:38 PM,00:39.42
O 27 2014 11:14:11 PM,00:37.91
O 27 2014 11:12:46 PM,00:44.55
O 26 2014 08:22:12 PM,00:38.97
O 26 2014 08:20:40 PM,00:43.46
O 26 2014 04:24:10 AM,00:38.09
O 26 2014 04:22:42 AM,00:45.63
O 26 2014 04:21:07 AM,00:43.90
O 26 2014 04:19:11 AM,00:42.13
O 26 2014 04:17:39 AM,00:47.50
O 26 2014 04:15:02 AM,00:33.48
S 25 2014 08:37:31 PM,00:51.98
S 25 2014 08:36:07 PM,00:34.68
S 25 2014 08:34:15 PM,00:46.04
S 25 2014 08:32:52 PM,00:34.75
S 21 2014 09:44:56 PM,00:42.83
S 21 2014 09:43:28 PM,00:46.79
